,fg,Topic
676,aminoethanone,-1
677,aminoethenesulfonic,-1
678,aminoethenethiol,-1
679,aminoethenoxy,-1
680,aminoethenoxymethyl,-1
681,aminoethenyl,-1
682,aminoethenylamino,-1
683,aminoethenylimino,-1
684,aminoethenyliminomethyl,-1
685,aminoethenylsulfanyl,0
686,aminoethoxy,-1
687,aminoethoxycarbonylamino,-1
688,aminoethoxyimino,-1
689,aminoethoxyiminomethyl,-1
690,aminoethoxymethoxy,-1
691,aminoethoxymethyl,-1
692,aminoethyl,-1
693,aminoethylamino,-1
694,aminoethylazanide,-1
695,aminoethylcarbamothioylamino,-1
696,aminoethylcarbamoyl,-1
697,aminoethylcarbamoylamino,-1
698,aminoethyldisulfanyl,-1
699,aminoethylhydrazinylidene,-1
700,aminoethylidene,-1
701,aminoethylideneamino,-1
702,aminoethylidenecarbamothioyl,-1
703,aminoethylidenecarbamothioylamino,-1
704,aminoethylidenecarbamoyl,-1
705,aminoethylimino,-1
706,aminoethyliminomethyl,-1
707,aminoethylphosphonic,-1
708,aminoethylsulfamoyl,0
709,aminoethylsulfanyl,0
710,aminoethylsulfanylcarbonyl,0
711,aminoethylsulfanylcarbonyloxy,0
712,aminoethylsulfanylformate,0
713,aminoethylsulfanylmethyl,0
714,aminoethylsulfinyl,0
715,aminoethylsulfonyl,0
716,aminoethylsulfonylamino,0
717,aminoethylsulfonylmethyl,0
718,aminoethylsulfonyloxy,0
719,aminoethynyl,-1
720,aminofluoren,5
721,aminofluorene,5
722,aminoformamide,-1
723,aminofuran,-1
724,aminofuro,-1
725,aminohept,-1
726,aminohepta,-1
727,aminoheptadec,-1
728,aminoheptan,-1
729,aminoheptanamide,-1
730,aminoheptane,-1
731,aminoheptanedioate,-1
732,aminoheptanethioic,-1
733,aminoheptanoate,-1
734,aminoheptanoyl,-1
735,aminoheptanoylamino,-1
736,aminoheptoxy,-1
737,aminoheptyl,-1
738,aminoheptylamino,-1
739,aminoheptylidene,-1
740,aminoheptylidenethiourea,-1
741,aminohex,-1
742,aminohexa,-1
743,aminohexan,-1
744,aminohexanal,-1
745,aminohexanamide,-1
746,aminohexane,-1
747,aminohexanedioate,-1
748,aminohexanethioate,-1
749,aminohexanoate,-1
750,aminohexanoic,-1
751,aminohexanoyl,-1
752,aminohexanoylamino,-1
753,aminohexoxy,-1
754,aminohexoxycarbonyl,-1
755,aminohexyl,-1
756,aminohexylamino,-1
757,aminohexylcarbamic,-1
758,aminohexylcarbamodithioic,-1
759,aminohexylcarbamoyl,-1
760,aminohexylcarbamoylsulfanyl,0
761,aminohexyliminomethylideneazanide,-1
762,aminohexylsulfanyl,-1
763,aminohexylsulfonyl,-1
764,aminohydrazinyl,-1
765,aminohydrazinylidene,-1
766,aminoimidazo,-1
767,aminoimidazol,-1
768,aminoimidazole,-1
769,aminoindazol,-1
770,aminoindazole,-1
771,aminoinden,-1
772,aminoindene,-1
773,aminoindol,-1
774,aminoindole,-1
775,aminoindolizine,-1
776,aminoiodanuidyl,-1
777,aminoiodanuidylcyclooctane,-1
778,aminoiodanuidylformate,-1
779,aminoiodanuidylmethyl,-1
780,aminoiodanuidylmethylamino,-1
781,aminoiodanuidyloxy,-1
782,aminoiodanuidylpyridine,-1
783,aminoisoindol,-1
784,aminoisoindole,-1
785,aminoisoquinolin,-1
786,aminoisoquinoline,-1
787,aminomethanesulfinic,0
788,aminomethanetriol,-1
789,aminomethanol,-1
790,aminomethanone,-1
791,aminomethoxy,-1
792,aminomethoxycarbonyl,-1
793,aminomethoxymethoxy,-1
794,aminomethoxymethyl,-1
795,aminomethoxymethylamino,-1
796,aminomethoxysulfonylmethanesulfonic,0
797,aminomethyl,-1
798,aminomethylamino,-1
799,aminomethylcarbamoyl,-1
800,aminomethylcarbamoylamino,-1
801,aminomethylidene,-1
802,aminomethylideneamino,-1
803,aminomethylidenecarbamoyl,-1
804,aminomethylimino,-1
805,aminomethyliminomethyl,-1
806,aminomethylphosphonic,-1
807,aminomethylsulfanyl,0
808,aminomethylsulfinylmethyl,0
809,aminomethylsulfonyl,0
810,aminomorpholin,-1
811,aminomorpholine,-1
812,aminonaphthalen,-1
813,aminonaphthalene,-1
814,aminonaphtho,-1
815,aminonon,-1
816,aminonona,-1
817,aminononan,-1
818,aminononane,-1
819,aminononanoate,-1
820,aminononanoyl,-1
821,aminononyl,-1
822,aminononylazanide,-1
823,aminononylidene,-1
824,aminooct,-1
825,aminoocta,-1
826,aminooctan,-1
827,aminooctane,-1
828,aminooctanedioic,-1
829,aminooctanethioic,-1
830,aminooctanoate,-1
831,aminooctanoic,-1
832,aminooctanoyl,-1
833,aminooctyl,-1
834,aminooctylamino,-1
835,aminooctylidene,-1
836,aminooxadiazol,-1
837,aminooxan,-1
838,aminooxane,-1
839,aminooxepan,-1
840,aminooxetan,-1
841,aminooxetane,-1
842,aminooxiran,-1
843,aminooxolan,-1
844,aminooxolane,-1
845,aminooxy,-1
846,aminooxyacetate,-1
847,aminooxyacetyl,-1
848,aminooxyamino,-1
849,aminooxybenzoate,-1
850,aminooxybenzoic,-1
851,aminooxybut,-1
852,aminooxybutanoate,-1
853,aminooxybutyl,-1
854,aminooxybutylamino,-1
855,aminooxycarbamate,-1
856,aminooxycarbonimidoyl,-1
857,aminooxycarbonyl,-1
858,aminooxycarbonylamino,-1
859,aminooxycyclobutan,-1
860,aminooxycyclohexyl,-1
